validator,message_class_id,message_template,severity_as_emitted,objects,adjudication,citation_section,citation_table,citation_quote,rationale
dciodvfy,3e71ea7ef539,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UID> - Retired Person Name form,Warning,140,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,1b00c347876d,Warning - Value dubious for this VR - (TAG) PN Person Name PN [1] = <QIBA CT 1B Round 2 Reader 3> - Retired Person Name form,Warning,52,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,ae316ae75adc,Warning - Value dubious for this VR - (TAG) PN Person Name PN [1] = <QIBA CT 1B Round 2 Reader 5> - Retired Person Name form,Warning,52,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,ccf4807bd065,Warning - Value dubious for this VR - (TAG) PN Person Name PN [1] = <QIBA CT 1B Round 2 Reader 1> - Retired Person Name form,Warning,52,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,df81b547222c,Warning - Value dubious for this VR - (TAG) PN Person Name PN [1] = <QIBA CT 1B Round 2 Reader 2> - Retired Person Name form,Warning,52,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,fb7742c1276f,Warning - Value dubious for this VR - (TAG) PN Person Name PN [1] = <QIBA CT 1B Round 2 Reader 4> - Retired Person Name form,Warning,52,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,094a5533a029,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <182825> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,13dcac3f2161,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <244660> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,18e8e59eb754,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <643677> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,1f9be1443f24,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <107166> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,21d3d71e7b65,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <315906> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,249aa045bbf3,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <978961> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,3ebdcd29c02e,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <209868> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,3fae8fcc3fa4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <895032> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,42435c890dab,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <157876> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,4469b7e1da6a,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <714842> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,459613cc4d8f,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <301889> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,4ecf6197af84,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <229925> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,4fe5563f9dca,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <314333> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,5e4594de6b4f,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <126123> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,61d8c8c59970,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <238644> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,69c66e31383e,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <335900> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,6c4f0cb87cf0,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <308221> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,6f68d706b3b4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <318903> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,700b417c1b0e,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <296698> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,768eba208839,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <200320> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,795d9a9c3174,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <269755> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,8de6774298e0,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <324303> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,8fe425de795f,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <110743> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,9003826dca02,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <243509> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,9dc0c5458436,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <277654> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,a68c2bd56d67,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <132854> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,aadbdf3d4725,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <135798> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,d9a7e9292901,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <293546> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,dd83dbf18979,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <130094> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,ddd057e3f4bd,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <231091> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,e55baf9bd08e,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <573377> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,fb3d1edad913,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <157357> - Retired Person Name form,Warning,7,PLAUSIBILITY,"not applicable, no requirement is cited by the message",not applicable,,"Named in the rubric as a plausibility heuristic. The message is about the shape of a PN value, a single component with no caret delimiters, which PS3.5 Table 6.2-1 permits for VR PN. No Type and no condition is asserted, and dciodvfy emits it at Warning severity with the word dubious."
dciodvfy,24dc807c12b7,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-137.297302246094> - Length invalid for this VR = 17, expected <= 16",Error,4,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,85b51d33f2cf,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-141.226440429688> - Length invalid for this VR = 17, expected <= 16",Error,3,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
dciodvfy,d610e942d921,"Error - Value invalid for this VR - (TAG) DS Numeric Value DS [1] = <-141.709106445312> - Length invalid for this VR = 17, expected <= 16",Error,3,NET,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, row DS","PS3.5 Table 6.2-1, row ""DS"" Decimal String, Length of Value column: ""16 bytes maximum"".","A stated, exact, quotable maximum, breached by a 17 character value. The citation is PS3.5 rather than PS3.3, PS3.4 or PS3.16 because the defect is an encoding-level VR length overflow and not an IOD Type or condition, so the rubric's citation scope does not cover it. Recorded as NET and flagged as off-part, and every triple in the report is also given with the off-part classes demoted to UNDECIDABLE."
