sop_class_name,validator,message_class_id,message_template,severity_as_emitted,objects,adjudication,citation_section,citation_table,citation_quote,rationale
Key Object Selection Document Storage,dciodvfy,b102dac9db49,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-Breast-DCE-MRI-BC14> - Retired Person Name form,Warning,4,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Key Object Selection Document Storage,dciodvfy,b7ae2afa9d4a,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-Breast-DCE-MRI-BC16> - Retired Person Name form,Warning,4,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Key Object Selection Document Storage,dicom-validator,78298ffdd2bf,Module <General Equipment> Tag (TAG) (Manufacturer) is missing,ERROR,40,NET,"PS3.3 Section C.7.5.1 General Equipment Module, with PS3.3 Section A.35.4.3 Key Object Selection Document IOD Module Table","PS3.3 Table C.7-8 General Equipment Module Attributes, and PS3.3 Table A.35.4-1 Key Object Selection Document IOD Modules","Table A.35.4-1 gives the Equipment IE row ""General Equipment, C.7.5.1, M"". Table C.7-8 gives Manufacturer (0008,0070), Type 2, ""Manufacturer of the equipment that produced the Composite Instances.""","The same finding as the dciodvfy Type 2 error, reached independently by the second validator. dicom-validator emits no severity of its own and the census records the section header it groups the finding under, ERROR, as the severity as emitted."
Real World Value Mapping Storage,dciodvfy,76ab0c6981d2,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Warning,20,FLOOR,"PS3.16 Section 8 Coding Schemes, with PS3.3 Section 8.2 Coding Scheme Designator and Coding Scheme Version",PS3.16 Table 8-1 Coding Schemes,"Table 8-1 still lists SRT, UID 2.16.840.1.113883.6.96, SNOMED CT, described as ""SNOMED CT"" using the ""SNOMED-RT style"" Code Values, with the note ""This Coding Scheme is deprecated. The use of ""SNOMED-RT style"" Code Values is no longer authorized by SNOMED except for creation by legacy devices, legacy objects in archives, and receiving systems that need to understand them."" PS3.3 Section 8.2: ""Standard Coding Scheme designators used in DICOM information interchange are listed in PS3.16.""","SRT remains a listed designator in the current edition. The standard marks it deprecated, which is not a prohibition, and no Type and no condition is stated against its use. The word Retired does not appear in the row."
Real World Value Mapping Storage,dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,20,NOT-IOD,"PS3.3 Section F.5.2 Study Directory Record Definition, read against PS3.3 Section C.7.2.1 General Study Module","PS3.3 Table F.5-2 Study Keys, and PS3.3 Table C.7-3 General Study Module Attributes","Table F.5-2 makes Study ID (0020,0010) Type 1 in a directory record whose Directory Record Type (0004,1430) has Value ""STUDY."" Table C.7-3 gives the same attribute in the General Study Module as Type 2, ""User or equipment generated Study identifier.""","The requirement quoted is a key of the Basic Directory IOD, which is built by media interchange software, not by the instance. Inside the IODs under test Study ID is Type 2 and may be present with zero length. The message is advice about building a DICOMDIR and states nothing about IOD conformance."
Real World Value Mapping Storage,dciodvfy,e4c7fa2d56f7,Error - Missing attribute Type 2C Conditional Element=<Laterality> Module=<GeneralSeries>,Error,20,FLOOR,PS3.3 Section C.7.3.1 General Series Module,PS3.3 Table C.7-5a General Series Module Attributes,"Laterality (0020,0060), Type 2C: ""Laterality of (paired) body part examined. Required if the body part examined is a paired structure and Image Laterality (0020,0062) or Frame Laterality (0020,9072) or Measurement Laterality (0024,0113) are not present.""","The condition is required only when the body part examined is a paired structure. Whether it is paired is not carried by the General Series Module, so the antecedent cannot be evaluated from the dataset and absence is permitted whenever the body part is not paired. dciodvfy raises this same class against a known-good highdicom object in the Phase 1 floor set, message class e4c7fa2d56f7 in results/floor_set.csv."
Real World Value Mapping Storage,dciodvfy,016220fe12d4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-19> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,05329fa9d6f6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-20> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,11af4d655dc2,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-17> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,18faf8fa67cb,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-10> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,1ea17ef14dec,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-01> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,2744fabb0ee0,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-03> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,2b45ef5a24e8,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-15> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,3a78e7a178d6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-06> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,4d25c8629903,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-02> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,51acc8243a29,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-16> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,51f33d921c42,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-07> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,589b7869a747,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-05> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,6d59377098c7,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-04> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,70e41532a4b9,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-18> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,b131edca302c,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-09> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,b7218f4f82f7,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-12> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,d482e9ab8e76,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-08> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,d5148f228115,Warning - Unrecognized defined term <L> for value 1 of attribute <Coding Scheme Designator>,Warning,1,FLOOR,PS3.3 Section 8.2 Coding Scheme Designator and Coding Scheme Version,"none, Section 8.2 is prose. The registry it points at is PS3.16 Table 8-1 Coding Schemes, and L is not a row there","""Other Coding Scheme designators, for both private and public Coding Schemes, may be used, in accordance with PS3.16."" and ""Coding Scheme designators beginning with ""99"" and the Coding Scheme designator ""L"" are defined in HL7 V2 to be private or local Coding Schemes.""","The standard names the designator L explicitly, as the HL7 V2 designator for a private or local Coding Scheme, and permits designators beyond those listed in PS3.16. The value is outside dciodvfy's list of known designators and inside the set the standard allows."
Real World Value Mapping Storage,dciodvfy,ed8e37b0d15f,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-14> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,ee84f788efba,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-11> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
Real World Value Mapping Storage,dciodvfy,fc2945628c0c,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CT-PET-VI-13> - Retired Person Name form,Warning,1,PLAUSIBILITY,PS3.5 Section 6.2 Value Representation,"PS3.5 Table 6.2-1 DICOM Value Representations, PN entry","""The component delimiter shall be the caret ""^"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted.""","A PN carrying only a family name complex, with the trailing null components and their delimiters omitted, is what the VR definition permits. No requirement is cited by the validator and none is violated. The complaint is that the value looks like a pseudonym rather than a name, which is a value-quality heuristic."
