sop_class_name,analysis_result_id,validator,message_class_id,severity_as_emitted,objects,message_template
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,9db96ca999d4,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0022> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,b5ba1effb07a,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0226> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,16eed369580d,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0239> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,eaf2382ac78e,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0019> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,3eb8931d07a3,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0168> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,39477a1b22b8,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0192> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,21000a001c9f,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0011> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,150b55c6d23a,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0217> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,cf2631d72665,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0240> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,5daf440cf158,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0223> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,cfd3ca917105,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0195> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,a9903b070c29,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0041> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,b9b4af27631c,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0210> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,c998ed19f63e,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0248> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,c8081a32872e,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0236> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,1abe3d255d54,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0191> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,22c4b3d999c1,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0244> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,4584bf01fd03,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0201> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,7af8b6e39080,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0224> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,db5dbf4072d4,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0231> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,3bf511dbbd92,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0190> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,c5db22964f1a,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0177> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,f8ecf531460e,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0053> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,33c0f6010f9f,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0169> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,02726ce38e0d,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0253> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,e36f82fe9ee2,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0050> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,43c419b61921,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0246> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,b4559a34a38c,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0204> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,4af8757882db,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0199> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,0938a63ac211,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0229> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,d012d99b4122,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0227> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,659835a69ec5,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0174> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,542335822fb2,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0233> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,addbdfba8ede,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0198> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,b9eb5bcb8224,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-B0037> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,98897b00166f,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0205> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,7b6f2ef71196,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0175> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,d4204283ec56,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0194> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,f07a715f3cf7,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0225> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,f3e06d566c61,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0265> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,f9638aa43b5f,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0213> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,aa4fbc803d43,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0057> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,9d4c6b077676,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0180> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,9b0669bac662,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0043> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,9d7c3e0ae886,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0045> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,be7c825a242e,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0262> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,e156701c80a7,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0247> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,ec2828b01984,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0044> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,e96440f59e7f,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0182> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,971aa85f1d53,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-B0043> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,9dc86273bb57,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0176> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,7c9ff3e37958,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0173> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,8f48b7469d36,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0261> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,98ec8041a547,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0202> - Retired Person Name form
Comprehensive 3D SR Storage,lung_pet_ct_dx_annotations,dciodvfy,e60bc60bb86a,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0250> - Retired Person Name form
